STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2020/01/01 00:00:00,1,-10.6,-5.9,-3.9,-1.3,132,132,129,11.63,10.2,00016
0001,2020/01/01 00:00:00,2,-9.6,-2.6,-3.4,-1.8,122,121,117,11.63,10.2,00016
0001,2020/01/01 00:00:00,3,-8.6,-1.6,-3.8,-1.7,115,114,110,11.63,10.2,00016
0001,2020/01/01 00:00:00,4,-7.6,-0.9,-6.5,-0.5,109,107,102,11.63,10.2,00016
0001,2020/01/01 00:00:00,5,-6.6,1,-6,-0.3,103,101,97,11.63,10.2,00016
0001,2020/01/01 00:00:00,6,-5.6,2.4,-2.9,-0.1,99,98,94,11.63,10.2,00016
0001,2020/01/01 00:00:00,7,-4.6,5.4,-4.7,-0.7,95,105,89,11.63,10.2,00016
0001,2020/01/01 00:00:00,8,-3.6,0.9,-0.9,-1.5,93,140,98,11.63,10.2,00016
0001,2020/01/01 00:00:00,9,-2.6,-2.7,1.5,-1.9,102,150,113,11.63,10.2,00016
0001,2020/01/01 00:00:00,10,-1.6,-3.5,-8.8,-1.6,132,159,131,11.63,10.2,00016
0001,2020/01/01 01:00:00,1,-10.6,2.6,-1.5,-0.2,131,130,127,11.48,10.2,00016
0001,2020/01/01 01:00:00,2,-9.6,0.9,-3.9,-0.8,120,119,116,11.48,10.2,00016
0001,2020/01/01 01:00:00,3,-8.6,2.1,2.3,-0.9,113,111,108,11.48,10.2,00016
0001,2020/01/01 01:00:00,4,-7.6,2.7,-1.4,-0.8,107,106,102,11.48,10.2,00016
0001,2020/01/01 01:00:00,5,-6.6,2.4,-6.7,-1.6,101,101,97,11.48,10.2,00016
0001,2020/01/01 01:00:00,6,-5.6,-2,-5,-2.5,98,98,92,11.48,10.2,00016
0001,2020/01/01 01:00:00,7,-4.6,-0.9,-2.8,-1.9,94,96,91,11.48,10.2,00016
0001,2020/01/01 01:00:00,8,-3.6,3.2,-1.3,-1.4,91,103,111,11.48,10.2,00016
0001,2020/01/01 01:00:00,9,-2.6,3.6,-2.7,-1.2,93,140,127,11.48,10.2,00016
0001,2020/01/01 01:00:00,10,-1.6,1.2,-4.2,-1.7,145,164,144,11.48,10.2,00016
0001,2020/01/01 02:00:00,1,-10.6,5.1,-4.1,-1.3,130,129,126,11.44,10.2,00016
0001,2020/01/01 02:00:00,2,-9.6,3.3,-4.9,-0.2,118,118,114,11.44,10.2,00016
0001,2020/01/01 02:00:00,3,-8.6,4.2,-4.7,-1.6,111,110,106,11.44,10.2,00016
0001,2020/01/01 02:00:00,4,-7.6,3.3,-1.2,-1,104,104,99,11.44,10.2,00016
0001,2020/01/01 02:00:00,5,-6.6,3.2,-2.8,-1.5,100,99,97,11.44,10.2,00016
0001,2020/01/01 02:00:00,6,-5.6,3.6,-2.5,-0.7,96,96,93,11.44,10.2,00016
0001,2020/01/01 02:00:00,7,-4.6,3.7,-5.2,0.7,94,114,92,11.44,10.2,00016
0001,2020/01/01 02:00:00,8,-3.6,-3.7,-1,-1,92,141,114,11.44,10.2,00016
0001,2020/01/01 02:00:00,9,-2.6,-3.1,-0.3,0.1,91,141,132,11.44,10.2,00016
0001,2020/01/01 02:00:00,10,-1.6,-2.3,-14.7,-0.3,143,153,143,11.44,10.2,00016
0001,2020/01/01 03:00:00,1,-10.6,2.2,-5.6,-0.2,124,123,122,11.5,10.2,00016
0001,2020/01/01 03:00:00,2,-9.6,4.1,-3.5,-1.5,112,112,107,11.5,10.2,00016
0001,2020/01/01 03:00:00,3,-8.6,3.8,-3,-0.7,106,105,99,11.5,10.2,00016
0001,2020/01/01 03:00:00,4,-7.6,7.1,-1.9,-0.2,99,100,93,11.5,10.2,00016
0001,2020/01/01 03:00:00,5,-6.6,5.7,-3,-0.3,94,94,87,11.5,10.2,00016
0001,2020/01/01 03:00:00,6,-5.6,3.8,-1.5,-1.5,89,91,85,11.5,10.2,00016
0001,2020/01/01 03:00:00,7,-4.6,2.2,-4.5,-0.8,90,90,89,11.5,10.2,00016
0001,2020/01/01 03:00:00,8,-3.6,2.1,1.5,0,110,90,111,11.5,10.2,00016
0001,2020/01/01 03:00:00,9,-2.6,2,1.5,0.3,121,97,122,11.5,10.2,00016
0001,2020/01/01 03:00:00,10,-1.6,-0.5,-8.3,0.4,138,137,129,11.5,10.2,00016
0001,2020/01/01 04:00:00,1,-10.6,5.6,-6.1,0,126,125,123,11.66,10.2,00016
0001,2020/01/01 04:00:00,2,-9.6,7.1,3,-0.2,115,113,109,11.66,10.2,00016
0001,2020/01/01 04:00:00,3,-8.6,9.2,-0.5,-1.4,107,106,101,11.66,10.2,00016
0001,2020/01/01 04:00:00,4,-7.6,10.4,-1.4,-1.1,101,98,94,11.66,10.2,00016
0001,2020/01/01 04:00:00,5,-6.6,7.5,-3.7,-1.9,93,92,89,11.66,10.2,00016
0001,2020/01/01 04:00:00,6,-5.6,12.1,-4.1,-2.1,89,88,87,11.66,10.2,00016
0001,2020/01/01 04:00:00,7,-4.6,4.6,-1.2,-0.5,86,83,93,11.66,10.2,00016
0001,2020/01/01 04:00:00,8,-3.6,5.4,0.5,-1.6,88,78,106,11.66,10.2,00016
0001,2020/01/01 04:00:00,9,-2.6,3.9,-1.1,-1.9,96,94,115,11.66,10.2,00016
